lokasi,nama_komoditas,2015-06-01,2015-06-02,2015-06-03,2015-06-04,2015-06-05,2015-06-06,2015-06-07,2015-06-08,2015-06-09,2015-06-10,2015-06-11,2015-06-12,2015-06-13,2015-06-14,2015-06-15,2015-06-16,2015-06-17,2015-06-18,2015-06-19,2015-06-20,2015-06-21,2015-06-22,2015-06-23,2015-06-24,2015-06-25,2015-06-26,2015-06-27,2015-06-28,2015-06-29,2015-06-30
"Pasar Baru","Beras Medium",9500,0,9500,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,0
"Pasar Baru","Cabe Merah",40000,0,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,50000,50000,60000,60000,60000,0,0,48000,48000,48000,48000,35000,0,0,30000,0
"Pasar Baru","Bawang Merah",35000,0,35000,35000,35000,0,0,35000,35000,35000,35000,35000,0,0,33000,33000,33000,33000,33000,0,0,33000,33000,33000,33000,33000,0,0,30000,0
"Pasar Baru","Daging Ayam Ras",32000,0,32000,32000,32000,0,0,32000,32000,32000,35000,35000,0,0,34000,34000,34000,34000,34000,0,0,33000,33000,33000,33000,33000,0,0,30000,0
"Pasar Baru","Telur Ayam Ras",22000,0,22000,22000,22000,0,0,22000,22000,22000,22000,22000,0,0,22000,22000,22000,22000,22000,0,0,22000,22000,22000,22000,22000,0,0,21000,0
"Pasar Baru","Daging Sapi",100000,0,100000,100000,100000,0,0,100000,100000,100000,100000,100000,0,0,100000,100000,110000,110000,110000,0,0,105000,105000,105000,105000,105000,0,0,105000,0
"Pasar Baru","Minyak Goreng",14000,0,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,0
"Pasar Baru","Gula Pasir",12000,0,12000,12000,12000,0,0,12000,12000,12000,13000,13000,0,0,13000,13000,13000,13000,13000,0,0,13000,13000,13000,13000,13000,0,0,13000,0
"Pasar Baru",Kentang,11000,0,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,0
"Pasar Baru",Kedelai,13000,0,13000,13000,13000,0,0,13000,13000,13000,13000,13000,0,0,13000,13000,13000,13000,13000,0,0,13000,13000,13000,13000,13000,0,0,13000,0
"Pasar Baru","Tepung Terigu",7500,0,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,0
"Pasar Baru","Bawang Putih",20000,0,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,0
