NO,NAMA PERUSAHAAN,ALAMAT,KET
1,499,Jalan Jenderal Ahmad yani No. 499,
2,99ERS COFEE,Jl. Dr.Junjunan No. 143,
3,ALI BABA KEBAB HAUS,Jl.Sukajadi No. 137-139,
4,ALOHA,Jalan Ciahpit No. 6,
5,AMPERA,Jl. R.E. Martadinata No. 57,
6,AMPERA,Jl. Pel. Pejuang 45 No. 52,
7,AMPERA,Jl. RE. Martadinata No. 57,
8,AYAM GORENG SUHARTI,Jalan Lodaya No. 1,P.A. 2006
9,B. CUISINE,Jl. Blk Pasar No. 110,
10,BAKSO KOTA CAK MAN MALANG,Jl. Dipati Ukur No. 85,
11,BANDUNG INDAH,Jalan Kopo No. 543,
12,BASO MALANG KARAPITAN,Jl. Pelajar Pejuang 45 No. 119,
13,BATAGOR CUPLIS,Jl. Veteran No. 7,
14,BRIDGE CAFê / PLANET DRINKS,Jalan Pasirkaliki No. 16,
15,BAKSO LAPANGAN TEMBAK SENAYAN,Jl. Cihampelas No. 160,
16,C F C.,Jalan Terusan Kiaracondong No. 418,
17,CABE RAWIT ,Jl. Ciumbuleut No. 129 A,
18,CV SENTRAL KULINER,Jl. Pajajaran No. 80 - E,
19,CAFê CLASSIC,Jalan Naripan No. 45,P. A. 2011
20,CAFê MUSIK BOX,Jalan Bungur No. 25,P.A. 2008
21,CASA MANJA,Jl. Sukajadi GF A-11 Paris Van Java,
22,CHICKEN FARM,Jl. Jend. Sudirman No. 299,
23,CIBIUK,Jl. Lengkong Besar No. 6,
24,CV. SELERA MURNI BERDIKARI/IGA BAKAR YOGYA,Jl. Cemara No. 81,
25,CV. BERKAT CITRA NUSANTARA,Jl. Gatot Subroto 289,
26,CV. BOGA MITRA GAMMA/BLACK CANYON,Jl. Sukajadi No. 137-139,
