id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
1146068,"Belanja cetak Pengelolaan Keuangan",50000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2014,"Penyediaan barang cetakan dan penggandaan",Barang/jasa,"Jasa Lainnya","1 paket",DPKAD,DPKAD,APBD," 50000000",1.20.1.20.05.01.11.5.2.2.06.01,"Pengadaan Langsung",10-04-2014,18-04-2014,21-04-2014,25-04-2014
1197378,"Belanja Jasa Konsultansi Perencanaan",50000000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2014,"Penyusunan Profil Dinas",Barang/jasa,"Jasa Konsultansi","1 Paket",DPKAD,DPKAD,APBD," 50000000",1.20.1.20.05.06.05.5.2.2.21.02,"Penunjukan Langsung",01-04-2014,12-04-2014,15-04-2014,15-05-2014
1147050,"Belanja Modal Pengadaan Kursi Kerja",75000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2014,"Pengadaan perlengkapan peralatan aparatur",Modal,Barang,"1 paket",DPKAD,DPKAD,APBD," 75000000",1.20.1.20.05.02.12.5.2.3.13.04,"Pengadaan Langsung",01-08-2014,08-08-2014,11-08-2014,11-08-2014
1147420,"Pembelian accu dan ban ",20000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2014,"Pemeliharaan rutin/berkela kendaraan dinas/operasional kantor",Barang/jasa,"Jasa Lainnya","1 paket",DPKAD,DPKAD,APBD," 20000000",1.20.1.20.05.02.24.5.2.2.05.07,"Pengadaan Langsung",10-04-2014,30-09-2014,10-04-2014,30-09-2014
1147471,"Belanja pakaian dinas harian warna khaki",73937500,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2014,"Pengadaan pakaian dinas beserta perlengkapannya",Barang/jasa,Barang,"1 paket",DPKAD,DPKAD,APBD," 73937500",1.20.1.20.05.03.02.5.2.2.12.04,"Pengadaan Langsung",01-05-2014,09-05-2014,12-05-2014,30-05-2014
1146096,"Belanja cetak Dus Arsip Umum",50000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2014,"Penyediaan barang cetakan dan penggandaan",Barang/jasa,"Jasa Lainnya","1 paket",DPKAD,DPKAD,APBD," 50000000",1.20.1.20.05.01.11.5.2.2.06.01,"Pengadaan Langsung",01-10-2014,10-10-2014,13-10-2014,17-10-2014
1146235,"Belanja modal Pengadaan jam dinding/meja",15000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2014,"Penyediaan peralatan rumah tangga",Modal,Barang,"1 paket",DPKAD,DPKAD,APBD," 15000000",1.20.1.20.05.01.14.5.2.3.15.02,"Pengadaan Langsung",10-04-2014,17-04-2014,17-04-2014,17-04-2014
1197469,"Belanja cetak Buku Kepwal tentang Standar Satuan harga",90000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2014,"Penyusunan standar satuan harga",Barang/jasa,"Jasa Lainnya","1 Paket",DPKAD,DPKAD,APBD," 90000000",1.20.1.20.05.17.02.5.2.2.06.01,"Pengadaan Langsung",03-02-2014,13-02-2014,14-02-2014,28-02-2014
1146926,"Belanja Modal Pengadaan Printer",75000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2014,"Pengadaan perlengkapan peralatan aparatur",Barang/jasa,Barang,"1 paket",DPKAD,DPKAD,APBD," 75000000",1.20.1.20.05.02.12.5.2.3.12.04,"Pengadaan Langsung",01-05-2014,08-05-2014,09-05-2014,09-05-2014
1197621,"Belanja Jasa Konsultansi Penelitian",1180000000,"Lelang Umum",N/A,"Pemerintah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2014,"Penyusunan dan Pemutakhiran Database Aset",Barang/jasa,"Jasa Konsultansi","1 Paket",DPKAD,DPKAD,APBD," 1180000000",1.20.1.20.05.17.33.5.2.2.21.01,"Lelang Umum",01-07-2014,18-07-2014,18-07-2014,18-08-2014
1197935,"Belanja Modal Pengadaan Konstruksi",1530000000,"Lelang Umum",N/A,"Pemerintah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2014,"Pematangan Tanah Milik Daerah",Modal,"Pekerjaan Konstruksi","1 Paket","Pemkot Bandung",DPKAD,APBD," 1530000000",1.09.1.20.05.16.22.5.2.3.26.01,"Lelang Umum",01-07-2014,18-07-2014,18-07-2014,18-09-2014
1147351,"Belanja BBM ",516420000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2014,"Pemeliharaan rutin/berkela kendaraan dinas/operasional kantor",Barang/jasa,"Jasa Lainnya","1 paket",DPKAD,DPKAD,APBD," 516420000",1.20.1.20.05.02.24.5.2.2.05.03,"Penunjukan Langsung",10-04-2014,15-12-2014,10-04-2014,15-12-2014
1146956,"Belanja Modal Pengadaan Scaner",10000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2014,"Pengadaan perlengkapan peralatan aparatur",Barang/jasa,Barang,"1 paket",DPKAD,DPKAD,APBD," 10000000",1.20.1.20.05.02.12.5.2.3.12.05,"Pengadaan Langsung",10-04-2014,18-04-2014,21-04-2014,21-04-2014
